title,date,url,day_of_week,days_to_rs
Mullen Announces the Sale of 22 EV Cargo Vans to Randy Marion Automotive Group; Sales Revenue to Be Recognized in Upcoming 10-Q,2023-06-29,https://news.mullenusa.com/mullen-announces-the-sale-of-22-ev-cargo-vans-to-randy-marion-automotive-group-sales-revenue-to-be-recognized-in-upcoming-10-q,Thursday,-56
"Mullen Series D Holders Exercise Final $100 Million Investment Option Prior to June 30, 2023, Expiration",2023-06-27,https://news.mullenusa.com/mullen-series-d-holders-exercise-final-100-million-investment-option-prior-to-june-30-2023-expiration,Tuesday,-54
Mullen Announces Moratorium on New Financings for Balance of 2023; Company Has Sufficient Capital for at Least the Next 12 Months,2023-06-21,https://news.mullenusa.com/mullen-announces-moratorium-on-new-financings-for-balance-of-2023-company-has-sufficient-capital-for-at-least-the-next-12-months,Wednesday,-48
Mullen Launches AI-Powered PERSONA Vehicle Technology Across All EV Lineups,2023-06-20,https://news.mullenusa.com/mullen-launches-ai-powered-persona-vehicle-technology-across-all-ev-lineups,Tuesday,-47
Mullen Corrects and Re-Issues Letter to Shareholders -- $0.38 Per Share Updated From $0.038 Per Share,2023-06-15,https://news.mullenusa.com/mullen-corrects-and-re-issues-letter-to-shareholders-0.38-per-share-updated-from-0.038-per-share,Thursday,-42
Mullen Issues Letter to Shareholders,2023-06-15,https://news.mullenusa.com/mullen-issues-letter-to-shareholders,Thursday,-42
Mullen Announces Development of Light-Weight EV Truck Body with Phenix Truck Bodies & Van Equipment of Southern California,2023-06-12,https://news.mullenusa.com/mullen-announces-development-of-light-weight-ev-truck-body-with-phenix-truck-bodies-van-equipment-of-southern-california,Monday,-39
Mullen Completes Successful Commercial Drive Event and Showcase at 2023 Government Fleet Expo,2023-05-25,https://news.mullenusa.com/mullen-completes-successful-commercial-drive-event-and-showcase-at-2023-government-fleet-expo,Thursday,-21
"Mullen Partners with Amerit Fleet Solutions to Support National Service, Parts and Warranty for All Commercial Vehicles",2023-05-23,https://news.mullenusa.com/mullen-partners-with-amerit-fleet-solutions-to-support-national-service-parts-and-warranty-for-all-commercial-vehicles,Tuesday,-19
Mullen Trades Above $1 Minimum Bid Price Requirement for 10 Consecutive Days,2023-05-18,https://news.mullenusa.com/mullen-trades-above-1-minimum-bid-price-requirement-for-10-consecutive-days,Thursday,-14
