date,insider,insider_first,insider_last,insider_full_name,insider_position,transaction,type,value,shares,shares_owned,sale_price_per_share,cumulative_sales_value,cumulative_shares,Open,High,Low,Close,Volume,Dividends,Stock Splits,post_reverse_split_shares,days_since_start,cumulative_salary,total_compensation,holdings_market_value,net_worth
2021-11-15,,,,,,,,,,,,0.0,,323.75,326.75,280.0,295.5,61384,0.0,0.0,,0,0.0,0.0,,
2021-11-16,,,,,,,,,,,,0.0,,305.0,344.5,286.25,328.5,141584,0.0,0.0,,1,2054.79,2054.79,,
2021-11-17,MICHERY DAVID,David,Michery,David Michery,Chief Executive Officer,Stock Gift at price 0.00 per share.,Direct,0.0,-751865.0,7438913.0,,0.0,7438913.0,360.0,397.25,297.0,304.75,225020,0.0,0.0,297556.52,2,4109.58,4109.58,90680349.47,90684459.05
2021-11-18,,,,,,,,,,,,0.0,7438913.0,275.75,285.5,247.5,253.0,72292,0.0,0.0,297556.52,3,6164.37,6164.37,75281799.56,75287963.93
2021-11-19,,,,,,,,,,,,0.0,7438913.0,263.0,294.75,250.0,253.5,74068,0.0,0.0,297556.52,4,8219.16,8219.16,75430577.82000001,75438796.98
2021-11-22,,,,,,,,,,,,0.0,7438913.0,266.5,267.5,202.5,211.5,96792,0.0,0.0,297556.52,7,14383.529999999999,14383.529999999999,62933203.980000004,62947587.510000005
2021-11-23,,,,,,,,,,,,0.0,7438913.0,208.5,235.75,206.75,217.75,38976,0.0,0.0,297556.52,8,16438.32,16438.32,64792932.230000004,64809370.550000004
2021-11-24,,,,,,,,,,,,0.0,7438913.0,212.75,245.75,209.0,220.25,41716,0.0,0.0,297556.52,9,18493.11,18493.11,65536823.53,65555316.64
2021-11-26,MICHERY DAVID,David,Michery,David Michery,Chief Executive Officer,Stock Gift at price 0.00 per share.,Direct,0.0,-17793.0,7421120.0,,0.0,7421120.0,221.25,223.75,204.25,213.5,14160,0.0,0.0,296844.8,11,22602.69,22602.69,63376364.8,63398967.489999995
2021-11-29,,,,,,,,,,,,0.0,7421120.0,223.25,223.25,189.0,201.0,37412,0.0,0.0,296844.8,14,28767.059999999998,28767.059999999998,59665804.8,59694571.86
2021-11-30,,,,,,,,,,,,0.0,7421120.0,200.0,206.75,188.0,198.0,20784,0.0,0.0,296844.8,15,30821.85,30821.85,58775270.4,58806092.25
2021-12-01,,,,,,,,,,,,0.0,7421120.0,201.0,204.75,174.0,178.0,33076,0.0,0.0,296844.8,16,32876.64,32876.64,52838374.4,52871251.04
2021-12-02,,,,,,,,,,,,0.0,7421120.0,175.0,178.0,150.0,164.75,31544,0.0,0.0,296844.8,17,34931.43,34931.43,48905180.8,48940112.23
2021-12-03,,,,,,,,,,,,0.0,7421120.0,171.5,177.25,157.0,165.5,30156,0.0,0.0,296844.8,18,36986.22,36986.22,49127814.4,49164800.62
2021-12-06,,,,,,,,,,,,0.0,7421120.0,165.5,170.75,153.75,168.5,23040,0.0,0.0,296844.8,21,43150.59,43150.59,50018348.8,50061499.39
2021-12-07,,,,,,,,,,,,0.0,7421120.0,168.25,178.75,156.5,174.25,46576,0.0,0.0,296844.8,22,45205.38,45205.38,51725206.4,51770411.78
2021-12-08,,,,,,,,,,,,0.0,7421120.0,175.75,187.5,172.5,177.75,26020,0.0,0.0,296844.8,23,47260.17,47260.17,52764163.199999996,52811423.37
2021-12-09,,,,,,,,,,,,0.0,7421120.0,175.25,178.75,159.0,161.5,19400,0.0,0.0,296844.8,24,49314.96,49314.96,47940435.199999996,47989750.16
2021-12-10,,,,,,,,,,,,0.0,7421120.0,162.25,166.5,158.0,160.25,24292,0.0,0.0,296844.8,25,51369.75,51369.75,47569379.199999996,47620748.949999996
2021-12-13,,,,,,,,,,,,0.0,7421120.0,159.25,161.25,138.0,143.25,31832,0.0,0.0,296844.8,28,57534.119999999995,57534.119999999995,42523017.6,42580551.72
2021-12-14,,,,,,,,,,,,0.0,7421120.0,143.5,152.5,136.25,138.75,43496,0.0,0.0,296844.8,29,59588.909999999996,59588.909999999996,41187216.0,41246804.91
2021-12-15,,,,,,,,,,,,0.0,7421120.0,137.5,145.0,127.0,138.25,28168,0.0,0.0,296844.8,30,61643.7,61643.7,41038793.6,41100437.300000004
2021-12-16,,,,,,,,,,,,0.0,7421120.0,140.0,140.25,130.5,132.0,15228,0.0,0.0,296844.8,31,63698.49,63698.49,39183513.6,39247212.09
2021-12-17,,,,,,,,,,,,0.0,7421120.0,128.75,144.75,123.0,143.5,38500,0.0,0.0,296844.8,32,65753.28,65753.28,42597228.8,42662982.08
2021-12-20,,,,,,,,,,,,0.0,7421120.0,136.5,141.75,127.5,134.0,20324,0.0,0.0,296844.8,35,71917.65,71917.65,39777203.199999996,39849120.849999994
2021-12-21,,,,,,,,,,,,0.0,7421120.0,134.75,146.5,134.75,142.75,23740,0.0,0.0,296844.8,36,73972.44,73972.44,42374595.199999996,42448567.63999999
2021-12-22,,,,,,,,,,,,0.0,7421120.0,141.75,148.75,137.75,145.75,18252,0.0,0.0,296844.8,37,76027.23,76027.23,43265129.6,43341156.83
2021-12-23,,,,,,,,,,,,0.0,7421120.0,146.25,151.25,141.25,146.5,25664,0.0,0.0,296844.8,38,78082.02,78082.02,43487763.199999996,43565845.22
2021-12-27,,,,,,,,,,,,0.0,7421120.0,145.25,148.25,138.0,142.75,21436,0.0,0.0,296844.8,42,86301.18,86301.18,42374595.199999996,42460896.379999995
2021-12-28,,,,,,,,,,,,0.0,7421120.0,131.75,140.75,131.75,135.5,21884,0.0,0.0,296844.8,43,88355.97,88355.97,40222470.4,40310826.37
2021-12-29,,,,,,,,,,,,0.0,7421120.0,133.25,135.75,123.75,127.25,25252,0.0,0.0,296844.8,44,90410.76,90410.76,37773500.8,37863911.559999995
2021-12-30,,,,,,,,,,,,0.0,7421120.0,126.25,134.0,125.5,130.5,21988,0.0,0.0,296844.8,45,92465.55,92465.55,38738246.4,38830711.949999996
2021-12-31,,,,,,,,,,,,0.0,7421120.0,130.0,136.25,124.5,130.75,20848,0.0,0.0,296844.8,46,94520.34,94520.34,38812457.6,38906977.940000005
2022-01-03,,,,,,,,,,,,0.0,7421120.0,131.5,146.5,131.5,145.25,16924,0.0,0.0,296844.8,49,100684.70999999999,100684.70999999999,43116707.199999996,43217391.91
2022-01-04,,,,,,,,,,,,0.0,7421120.0,145.5,146.0,133.25,140.25,9368,0.0,0.0,296844.8,50,102739.5,102739.5,41632483.199999996,41735222.699999996
2022-01-05,,,,,,,,,,,,0.0,7421120.0,137.5,140.5,125.0,125.75,21344,0.0,0.0,296844.8,51,104794.29,104794.29,37328233.6,37433027.89
2022-01-06,,,,,,,,,,,,0.0,7421120.0,135.0,136.25,122.25,124.75,91292,0.0,0.0,296844.8,52,106849.08,106849.08,37031388.8,37138237.879999995
2022-01-07,,,,,,,,,,,,0.0,7421120.0,123.25,124.75,116.25,117.5,23932,0.0,0.0,296844.8,53,108903.87,108903.87,34879264.0,34988167.87
2022-01-10,,,,,,,,,,,,0.0,7421120.0,114.75,116.0,106.75,113.75,12860,0.0,0.0,296844.8,56,115068.23999999999,115068.23999999999,33766096.0,33881164.24
2022-01-11,,,,,,,,,,,,0.0,7421120.0,112.5,115.5,100.0,104.0,27496,0.0,0.0,296844.8,57,117123.03,117123.03,30871859.2,30988982.23
2022-01-12,,,,,,,,,,,,0.0,7421120.0,106.75,109.75,100.25,107.75,13136,0.0,0.0,296844.8,58,119177.81999999999,119177.81999999999,31985027.2,32104205.02
2022-01-13,,,,,,,,,,,,0.0,7421120.0,104.25,108.75,101.5,102.75,17408,0.0,0.0,296844.8,59,121232.61,121232.61,30500803.2,30622035.81
2022-01-14,,,,,,,,,,,,0.0,7421120.0,101.5,104.5,95.25,100.75,14108,0.0,0.0,296844.8,60,123287.4,123287.4,29907113.599999998,30030400.999999996
2022-01-18,MICHERY DAVID,David,Michery,David Michery,Chief Executive Officer,Stock Award(Grant) at price 0.00 per share.,Direct,0.0,1000000.0,8421120.0,,0.0,8421120.0,98.0,100.75,92.25,92.75,13340,0.0,0.0,336844.8,64,131506.56,131506.56,31242355.2,31373861.759999998
2022-01-18,MICHERY DAVID,David,Michery,David Michery,Chief Executive Officer,Sale at price 3.88 per share.,Direct,116550.0,-30000.0,8391120.0,3.885,116550.0,8391120.0,98.0,100.75,92.25,92.75,13340,0.0,0.0,335644.8,64,131506.56,248056.56,31131055.2,31379111.759999998
2022-01-19,,,,,,,,,,,,116550.0,8391120.0,93.75,96.25,88.5,93.25,11680,0.0,0.0,335644.8,65,133561.35,250111.35,31298877.599999998,31548988.95
2022-01-20,,,,,,,,,,,,116550.0,8391120.0,93.75,99.75,91.0,92.25,8292,0.0,0.0,335644.8,66,135616.13999999998,252166.13999999998,30963232.8,31215398.94
2022-01-21,,,,,,,,,,,,116550.0,8391120.0,91.5,94.25,85.0,85.0,11560,0.0,0.0,335644.8,67,137670.93,254220.93,28529808.0,28784028.93
2022-01-24,,,,,,,,,,,,116550.0,8391120.0,81.25,85.5,75.5,85.5,11048,0.0,0.0,335644.8,70,143835.3,260385.3,28697630.4,28958015.7
2022-01-25,,,,,,,,,,,,116550.0,8391120.0,81.75,86.25,79.25,82.75,8788,0.0,0.0,335644.8,71,145890.09,262440.08999999997,27774607.2,28037047.29
2022-01-26,,,,,,,,,,,,116550.0,8391120.0,87.5,88.75,77.75,79.5,18336,0.0,0.0,335644.8,72,147944.88,264494.88,26683761.599999998,26948256.479999997
2022-01-27,,,,,,,,,,,,116550.0,8391120.0,80.75,81.25,71.5,72.75,13340,0.0,0.0,335644.8,73,149999.66999999998,266549.67,24418159.2,24684708.87
2022-01-28,,,,,,,,,,,,116550.0,8391120.0,72.75,73.75,68.5,71.0,18312,0.0,0.0,335644.8,74,152054.46,268604.45999999996,23830780.8,24099385.26
2022-01-31,,,,,,,,,,,,116550.0,8391120.0,72.5,81.0,71.75,80.5,15688,0.0,0.0,335644.8,77,158218.83,274768.82999999996,27019406.4,27294175.229999997
2022-02-01,,,,,,,,,,,,116550.0,8391120.0,83.75,93.25,81.75,89.0,19508,0.0,0.0,335644.8,78,160273.62,276823.62,29872387.2,30149210.82
2022-02-02,,,,,,,,,,,,116550.0,8391120.0,90.0,91.75,74.75,76.25,14148,0.0,0.0,335644.8,79,162328.41,278878.41000000003,25592916.0,25871794.41
2022-02-03,,,,,,,,,,,,116550.0,8391120.0,74.25,74.75,67.5,68.25,15668,0.0,0.0,335644.8,80,164383.2,280933.2,22907757.599999998,23188690.799999997
2022-02-04,,,,,,,,,,,,116550.0,8391120.0,68.5,69.0,63.25,64.25,21764,0.0,0.0,335644.8,81,166437.99,282987.99,21565178.4,21848166.389999997
2022-02-07,,,,,,,,,,,,116550.0,8391120.0,63.5,65.75,54.5,55.75,64076,0.0,0.0,335644.8,84,172602.36,289152.36,18712197.599999998,19001349.959999997
2022-02-08,,,,,,,,,,,,116550.0,8391120.0,55.75,55.75,51.75,53.25,46916,0.0,0.0,335644.8,85,174657.15,291207.15,17873085.599999998,18164292.749999996
2022-02-09,,,,,,,,,,,,116550.0,8391120.0,55.0,56.25,46.0,47.0,127708,0.0,0.0,335644.8,86,176711.94,293261.94,15775305.6,16068567.54
2022-02-10,,,,,,,,,,,,116550.0,8391120.0,46.75,50.25,42.5,43.25,118900,0.0,0.0,335644.8,87,178766.73,295316.73,14516637.6,14811954.33
