date,real_outstanding_shares,rs_adjusted_os,Open,High,Low,Close,Volume,Dividends,Stock Splits,market_capitalization
2021-08-03,,216171.0,320.25,330.0,288.25,295.0,71020,0.0,0.0,63770445.0
2021-08-04,,216171.0,290.75,292.75,272.5,279.75,6836,0.0,0.0,60473837.25
2021-08-05,,216171.0,282.0,298.5,281.25,293.25,14668,0.0,0.0,63392145.75
2021-08-06,,216171.0,295.75,297.25,288.75,292.25,2212,0.0,0.0,63175974.75
2021-08-09,,216171.0,292.25,307.0,285.0,300.5,7308,0.0,0.0,64959385.5
2021-08-10,,216171.0,303.25,307.25,290.5,297.25,13488,0.0,0.0,64256829.75
2021-08-11,,216171.0,300.0,300.75,286.0,293.25,9420,0.0,0.0,63392145.75
2021-08-12,,216171.0,291.25,296.5,281.5,287.5,7096,0.0,0.0,62149162.5
2021-08-13,5404287.0,216171.0,288.5,289.0,276.75,279.0,6836,0.0,0.0,60311709.0
2021-08-16,,223903.87096774194,280.25,280.25,262.5,272.25,10200,0.0,0.0,60957828.870967746
2021-08-17,,231636.74193548388,267.0,272.25,239.5,252.5,13380,0.0,0.0,58488277.33870968
2021-08-18,,239369.61290322582,253.75,266.0,250.0,257.75,7148,0.0,0.0,61697517.72580645
2021-08-19,,247102.48387096776,255.0,256.5,244.0,246.75,4324,0.0,0.0,60972537.89516129
2021-08-20,,254835.3548387097,248.75,258.5,248.75,254.75,3584,0.0,0.0,64919306.64516129
2021-08-23,,262568.22580645164,256.75,276.75,256.75,272.5,9584,0.0,0.0,71549841.53225806
2021-08-24,,270301.0967741936,273.5,289.5,268.75,278.75,37012,0.0,0.0,75346430.72580646
2021-08-25,,278033.9677419355,280.5,282.25,268.75,278.5,22120,0.0,0.0,77432460.01612905
2021-08-26,,285766.83870967745,275.75,278.0,260.5,265.25,12588,0.0,0.0,75799653.96774195
2021-08-27,,293499.7096774194,265.25,265.25,246.0,250.75,10396,0.0,0.0,73595052.20161292
2021-08-30,,301232.5806451613,253.75,261.5,242.5,252.25,16032,0.0,0.0,75985918.46774194
2021-08-31,,308965.4516129032,250.0,337.25,244.5,273.5,428100,0.0,0.0,84502051.01612903
2021-09-01,,316698.32258064515,263.25,275.5,244.75,247.5,43164,0.0,0.0,78382834.83870968
2021-09-02,,324431.1935483871,248.0,254.75,245.75,250.0,15320,0.0,0.0,81107798.38709678
2021-09-03,,332164.06451612903,249.25,251.0,240.0,244.25,21660,0.0,0.0,81131072.75806451
2021-09-07,,339896.93548387097,244.75,246.25,238.75,243.75,8536,0.0,0.0,82849878.02419356
2021-09-08,,347629.8064516129,242.5,258.75,233.25,248.25,32396,0.0,0.0,86299099.4516129
2021-09-09,,355362.67741935485,250.25,251.25,243.25,246.25,6968,0.0,0.0,87508059.31451613
2021-09-10,,363095.5483870968,248.5,248.5,240.0,241.25,5384,0.0,0.0,87596801.0483871
2021-09-13,,370828.4193548387,240.5,240.5,225.75,231.0,12572,0.0,0.0,85661364.87096775
2021-09-14,,378561.2903225806,231.0,236.75,225.5,228.75,12924,0.0,0.0,86595895.16129032
2021-09-15,,386294.16129032255,228.75,235.5,222.75,234.0,5624,0.0,0.0,90392833.74193548
2021-09-16,,394027.0322580645,233.25,235.0,227.5,232.25,3012,0.0,0.0,91512778.24193548
2021-09-17,,401759.9032258064,232.75,232.75,226.0,230.25,2988,0.0,0.0,92505217.71774194
2021-09-20,,409492.77419354836,222.5,224.75,213.0,222.75,7900,0.0,0.0,91214515.4516129
2021-09-21,,417225.6451612903,223.0,248.0,204.25,206.25,36828,0.0,0.0,86052789.31451613
